ret1,ret2,ret5,ret20,retfut1
,,,,0.000744355305599
0.000744355305599,,,,-0.004710743801653
-0.004710743801653,-0.003969894963196,,,0.00672589886241
0.00672589886241,0.00198347107438,,,0.00024744308809
0.00024744308809,0.006975006227684,,,-0.000247381875155
-0.000247381875155,0,0.002729302787197,,-0.001649620587265
-0.001649620587265,-0.001896594376185,0.000330578512397,,-0.008096497025777
-0.008096497025777,-0.009732761464863,-0.003072324171718,,-0.010994502748626
-0.010994502748626,-0.019001982815598,-0.020620257340812,,-0.003537139969682
-0.003537139969682,-0.014492753623189,-0.024325884390204,,0.003296146044625
0.003296146044625,-0.000252652854977,-0.020867700428901,,-0.001095105719821
-0.001095105719821,0.002197430696417,-0.020323859881031,,0.003035925113847
0.003035925113847,0.001937494735069,-0.009328668998834,,-0.005549016310745
-0.005549016310745,-0.002529937594873,-0.003874010442985,,0.004396347649645
0.004396347649645,-0.001177064065916,0.004056795131846,,-0.009343434343434
-0.009343434343434,-0.004988163679405,-0.008592367955522,,0.00611776701504
0.00611776701504,-0.003282828282828,-0.001433631303761,,0.009712017566084
0.009712017566084,0.015889200441839,0.005212712291912,,-0.009702241552359
-0.009702241552359,-8.44523266615227E-05,0.001014541765303,,-0.007179054054054
-0.007179054054054,-0.016811642689863,-0.010521885521886,,-0.006550404083369
-0.006550404083369,-0.013682432432433,-0.007732177755119,-0.034157637912497,-0.002997088542559
-0.002997088542559,-0.0095278604849,-0.016721560678997,-0.037768595041322,0.003779094735034
0.003779094735034,0.000770679910944,-0.022499163599866,-0.029560740679233,0.004534953366989
0.004534953366989,0.008331186120416,-0.008445945945946,-0.031672715275487,0.000511073253833
0.000511073253833,0.005048344314195,-0.000765631646108,-0.031417498144636,-0.002809467052614
-0.002809467052614,-0.002299829642249,0.002997088542559,-0.033899703068294,0.008196021514557
0.008196021514557,0.005363528009535,0.014257493773083,-0.024372108393919,0.006943856380727
0.006943856380727,0.015196789891574,0.017455292205014,-0.009578544061303,0.003700277520814
