Date,Open,High,Low,Close,Adj Close,Volume
2009-04-13,84.919998,86.540001,84.580002,85.830002,70.175331,224847500
2009-04-14,85.029999,85.760002,84.080002,84.349998,68.965286,276598800
2009-04-15,83.839996,85.419998,83.610001,85.250000,69.701111,250726100
2009-04-16,85.930000,87.150002,84.769997,86.500000,70.723137,335202900
2009-04-17,86.830002,87.650002,86.139999,87.080002,71.197350,262649000
2009-04-20,85.540001,87.050003,83.339996,83.430000,68.213081,293690100
2009-04-21,82.820000,85.129997,82.750000,85.059998,69.545753,114090900
2009-04-22,84.290001,86.339996,84.070000,84.540001,69.120621,340395200
2009-04-23,84.709999,85.419998,83.629997,85.370003,69.799210,324903700
2009-04-24,86.029999,87.309998,85.690002,86.660004,70.853943,287703000
2009-04-27,85.680000,87.010002,85.540001,85.839996,70.183487,289581600
2009-04-28,84.970001,86.589996,84.760002,85.570000,69.962761,247926300
2009-04-29,86.519997,88.360001,86.300003,87.389999,71.450798,311505700
2009-04-30,88.550003,89.019997,86.919998,87.419998,71.475327,301419800
2009-05-01,87.440002,88.209999,86.720001,87.889999,71.859612,236110300
2009-05-04,88.550003,90.940002,88.379997,90.879997,74.304283,287120000
2009-05-05,90.570000,90.930000,89.839996,90.570000,74.050797,243036300
2009-05-06,91.680000,92.199997,90.610001,92.139999,75.334435,291941000
2009-05-07,93.010002,93.150002,90.279999,90.860001,74.287903,317728000
2009-05-08,92.029999,93.220001,91.440002,92.980003,76.021240,299081700
2009-05-11,91.699997,92.110001,91.040001,91.239998,74.598587,247923600
2009-05-12,91.629997,91.830002,89.849998,90.970001,74.377838,282431300
2009-05-13,89.739998,90.010002,88.500000,88.680000,72.505516,269619100
2009-05-14,88.720001,90.120003,88.500000,89.440002,73.126869,260098700
2009-05-15,89.370003,90.000000,88.150002,88.709999,72.530060,271502700
2009-05-18,89.550003,91.339996,88.570000,91.230003,74.590439,241447400
2009-05-19,91.180000,91.970001,90.809998,91.120003,74.500481,206102200
2009-05-20,91.949997,92.800003,90.410004,90.510002,74.001747,285722200
2009-05-21,89.459999,89.800003,88.260002,89.209999,72.938828,258988400
2009-05-22,89.459999,90.000000,88.680000,89.019997,72.783478,166811900
2009-05-26,88.360001,91.559998,88.320000,91.300003,74.647652,236318500
2009-05-27,91.440002,91.750000,89.529999,89.669998,73.314949,246015800
2009-05-28,90.459999,91.339996,89.099998,90.919998,74.336952,289095000
2009-05-29,91.419998,93.699997,90.680000,92.529999,75.653313,258641500
