date,open,high,low,close,volume
05.05.2018 22:00:00.000 GMT+0100,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 22:00:00.000 GMT+0100,1.35327,1.35751,1.35151,1.35558,109764220.27610002
07.05.2018 22:00:00.000 GMT+0100,1.35560,1.35926,1.34843,1.35460,152788219.72669998
08.05.2018 22:00:00.000 GMT+0100,1.35461,1.36068,1.34990,1.35447,140731459.2285
09.05.2018 22:00:00.000 GMT+0100,1.35442,1.36174,1.34598,1.35169,180453369.38480002
10.05.2018 22:00:00.000 GMT+0100,1.35169,1.35957,1.35017,1.35407,126472999.81720002
11.05.2018 22:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
12.05.2018 22:00:00.000 GMT+0100,1.35407,1.35407,1.35407,1.35407,0
13.05.2018 22:00:00.000 GMT+0100,1.35393,1.36079,1.35373,1.35559,103492899.5974
14.05.2018 22:00:00.000 GMT+0100,1.35559,1.35718,1.34511,1.35000,152573270.5079
15.05.2018 22:00:00.000 GMT+0100,1.34997,1.35209,1.34554,1.34832,161455940.67389998
16.05.2018 22:00:00.000 GMT+0100,1.34825,1.35688,1.34741,1.35153,698717202.5145998
17.05.2018 22:00:00.000 GMT+0100,1.35153,1.35280,1.34548,1.34679,122610689.9415
18.05.2018 22:00:00.000 GMT+0100,1.34679,1.34679,1.34679,1.34679,0
19.05.2018 22:00:00.000 GMT+0100,1.34679,1.34679,1.34679,1.34679,0
20.05.2018 22:00:00.000 GMT+0100,1.34590,1.34825,1.33907,1.34217,124029078.55219999
21.05.2018 22:00:00.000 GMT+0100,1.34217,1.34911,1.34123,1.34278,138290669.5556
22.05.2018 22:00:00.000 GMT+0100,1.34278,1.34422,1.33050,1.33449,180245549.6829
23.05.2018 22:00:00.000 GMT+0100,1.33446,1.34216,1.33400,1.33769,181203260.25399998
24.05.2018 22:00:00.000 GMT+0100,1.33769,1.33873,1.32928,1.32946,159808081.23779997
25.05.2018 22:00:00.000 GMT+0100,1.32946,1.32946,1.32946,1.32946,0
26.05.2018 22:00:00.000 GMT+0100,1.32946,1.32946,1.32946,1.32946,0
27.05.2018 22:00:00.000 GMT+0100,1.33138,1.33408,1.32961,1.33092,128083019.16539998
28.05.2018 22:00:00.000 GMT+0100,1.33094,1.33250,1.32044,1.32416,188327890.625
29.05.2018 22:00:00.000 GMT+0100,1.32407,1.33069,1.32407,1.32844,172979808.83769998
30.05.2018 22:00:00.000 GMT+0100,1.32844,1.33478,1.32771,1.32957,181523300.65929997
31.05.2018 22:00:00.000 GMT+0100,1.32953,1.33617,1.32538,1.33449,156205839.47750002
01.06.2018 22:00:00.000 GMT+0100,1.33449,1.33449,1.33449,1.33449,0
02.06.2018 22:00:00.000 GMT+0100,1.33449,1.33449,1.33449,1.33449,0
03.06.2018 22:00:00.000 GMT+0100,1.33310,1.33985,1.32947,1.33122,112360610.22960001
04.06.2018 22:00:00.000 GMT+0100,1.33118,1.34086,1.33019,1.33851,144962580.32230002
05.06.2018 22:00:00.000 GMT+0100,1.33853,1.34429,1.33764,1.34113,137802780.3953
06.06.2018 22:00:00.000 GMT+0100,1.34108,1.34722,1.33714,1.34210,156814189.94149998
07.06.2018 22:00:00.000 GMT+0100,1.34206,1.34390,1.33544,1.34081,135768509.3994
08.06.2018 22:00:00.000 GMT+0100,1.34081,1.34081,1.34081,1.34081,0
09.06.2018 22:00:00.000 GMT+0100,1.34081,1.34081,1.34081,1.34081,0
10.06.2018 22:00:00.000 GMT+0100,1.34058,1.34413,1.33444,1.33729,107555940.67410001
11.06.2018 22:00:00.000 GMT+0100,1.33726,1.34243,1.33418,1.33703,143005660.64439997
12.06.2018 22:00:00.000 GMT+0100,1.33696,1.33890,1.33079,1.33737,137287658.9967
13.06.2018 22:00:00.000 GMT+0100,1.33734,1.34463,1.32570,1.32604,172039660.88860002
14.06.2018 22:00:00.000 GMT+0100,1.32606,1.32978,1.32110,1.32763,154896240.60080004
15.06.2018 22:00:00.000 GMT+0100,1.32763,1.32763,1.32763,1.32763,0
16.06.2018 22:00:00.000 GMT+0100,1.32763,1.32763,1.32763,1.32763,0
17.06.2018 22:00:00.000 GMT+0100,1.32557,1.32790,1.32257,1.32437,126401010.62030002
18.06.2018 22:00:00.000 GMT+0100,1.32437,1.32726,1.31507,1.31726,165855550.78140002
19.06.2018 22:00:00.000 GMT+0100,1.31728,1.32170,1.31458,1.31691,151070689.57529998
20.06.2018 22:00:00.000 GMT+0100,1.31689,1.32698,1.31018,1.32343,207630770.38590002
21.06.2018 22:00:00.000 GMT+0100,1.32424,1.33146,1.32337,1.32593,166445908.8137
22.06.2018 22:00:00.000 GMT+0100,1.32593,1.32593,1.32593,1.32593,0
23.06.2018 22:00:00.000 GMT+0100,1.32593,1.32593,1.32593,1.32593,0
24.06.2018 22:00:00.000 GMT+0100,1.32490,1.32904,1.32212,1.32764,156475121.338
25.06.2018 22:00:00.000 GMT+0100,1.32766,1.32918,1.31922,1.32184,182272128.1739
26.06.2018 22:00:00.000 GMT+0100,1.32243,1.32336,1.31063,1.31128,224737908.63060006
27.06.2018 22:00:00.000 GMT+0100,1.31133,1.31203,1.30495,1.30761,208855697.9981
28.06.2018 22:00:00.000 GMT+0100,1.30763,1.32136,1.30675,1.32040,202354299.6216
29.06.2018 22:00:00.000 GMT+0100,1.32040,1.32040,1.32040,1.32040,0
30.06.2018 22:00:00.000 GMT+0100,1.32040,1.32040,1.32040,1.32040,0
01.07.2018 22:00:00.000 GMT+0100,1.31825,1.32082,1.30950,1.31421,164974287.10940003
02.07.2018 22:00:00.000 GMT+0100,1.31412,1.32064,1.31145,1.31893,176613329.46769997
03.07.2018 22:00:00.000 GMT+0100,1.31891,1.32495,1.31705,1.32251,137937721.4356
04.07.2018 22:00:00.000 GMT+0100,1.32252,1.32748,1.32036,1.32209,181960458.9846
05.07.2018 22:00:00.000 GMT+0100,1.32134,1.32898,1.32031,1.32844,147960949.34080002
06.07.2018 22:00:00.000 GMT+0100,1.32844,1.32844,1.32844,1.32844,0
07.07.2018 22:00:00.000 GMT+0100,1.32844,1.32844,1.32844,1.32844,0
08.07.2018 22:00:00.000 GMT+0100,1.33179,1.33625,1.31889,1.32556,187413268.7989
09.07.2018 22:00:00.000 GMT+0100,1.32552,1.33008,1.32230,1.32709,159091730.4689
10.07.2018 22:00:00.000 GMT+0100,1.32705,1.32852,1.31994,1.32032,191778079.10149997
11.07.2018 22:00:00.000 GMT+0100,1.32028,1.32448,1.31802,1.32050,157239761.71859998
12.07.2018 22:00:00.000 GMT+0100,1.32049,1.32383,1.31025,1.32323,160289550.04870003
13.07.2018 22:00:00.000 GMT+0100,1.32323,1.32323,1.32323,1.32323,0
14.07.2018 22:00:00.000 GMT+0100,1.32323,1.32323,1.32323,1.32323,0
15.07.2018 22:00:00.000 GMT+0100,1.32272,1.32928,1.32167,1.32352,139427550.23189998
16.07.2018 22:00:00.000 GMT+0100,1.32340,1.32687,1.30689,1.31140,175707668.57900003
17.07.2018 22:00:00.000 GMT+0100,1.31135,1.31169,1.30100,1.30679,172361072.02150002
18.07.2018 22:00:00.000 GMT+0100,1.30674,1.30831,1.29574,1.30139,184643589.8436
19.07.2018 22:00:00.000 GMT+0100,1.30125,1.31401,1.29948,1.31287,177632180.0538
20.07.2018 22:00:00.000 GMT+0100,1.31287,1.31287,1.31287,1.31287,0
21.07.2018 22:00:00.000 GMT+0100,1.31287,1.31287,1.31287,1.31287,0
22.07.2018 22:00:00.000 GMT+0100,1.31229,1.31580,1.30821,1.30977,137416599.1213
23.07.2018 22:00:00.000 GMT+0100,1.30973,1.31591,1.30714,1.31436,157922441.5283
24.07.2018 22:00:00.000 GMT+0100,1.31435,1.32003,1.31328,1.31877,157213390.7472
25.07.2018 22:00:00.000 GMT+0100,1.31877,1.32132,1.31052,1.31072,154714919.7999
26.07.2018 22:00:00.000 GMT+0100,1.31070,1.31310,1.30822,1.30967,126008160.4006
27.07.2018 22:00:00.000 GMT+0100,1.30967,1.30967,1.30967,1.30967,0
28.07.2018 22:00:00.000 GMT+0100,1.30967,1.30967,1.30967,1.30967,0
29.07.2018 22:00:00.000 GMT+0100,1.30989,1.31521,1.30970,1.31315,113492099.6095
30.07.2018 22:00:00.000 GMT+0100,1.31314,1.31726,1.30894,1.31220,143985628.7234
31.07.2018 22:00:00.000 GMT+0100,1.31208,1.31440,1.30951,1.31259,132292401.1231
01.08.2018 22:00:00.000 GMT+0100,1.31258,1.31282,1.30142,1.30155,141379970.45899996
02.08.2018 22:00:00.000 GMT+0100,1.30155,1.30429,1.29753,1.30011,135485499.26770002
03.08.2018 22:00:00.000 GMT+0100,1.30011,1.30011,1.30011,1.30011,0
04.08.2018 22:00:00.000 GMT+0100,1.30011,1.30011,1.30011,1.30011,0
05.08.2018 22:00:00.000 GMT+0100,1.29948,1.30074,1.29198,1.29426,97414639.77049999
06.08.2018 22:00:00.000 GMT+0100,1.29430,1.29736,1.29237,1.29385,109433300.5371
07.08.2018 22:00:00.000 GMT+0100,1.29385,1.29597,1.28535,1.28807,127278978.7597
08.08.2018 22:00:00.000 GMT+0100,1.28807,1.29117,1.28188,1.28230,136275579.83430004
09.08.2018 22:00:00.000 GMT+0100,1.28203,1.28366,1.27228,1.27663,208623310.7909
10.08.2018 22:00:00.000 GMT+0100,1.27663,1.27663,1.27663,1.27663,0
11.08.2018 22:00:00.000 GMT+0100,1.27663,1.27663,1.27663,1.27663,0
12.08.2018 22:00:00.000 GMT+0100,1.27421,1.27913,1.27299,1.27594,155197759.5215
