Date,Open,High,Low,Close,Adj Close,Volume
2017-11-29,113.620003,113.620003,106.900002,109.860001,109.328781,14505400
2017-11-30,110.500000,112.589996,110.029999,112.589996,112.045578,18533300
2017-12-01,112.379997,112.440002,109.760002,110.730003,110.194580,13101800
2017-12-04,111.330002,111.449997,106.970001,107.430000,106.910538,18909100
2017-12-05,108.889999,109.239998,106.599998,108.580002,108.054977,12081500
2017-12-06,108.489998,110.169998,108.260002,109.739998,109.209373,7532100
2017-12-07,109.769997,111.410004,109.449997,111.400002,110.861343,7384900
2017-12-08,112.129997,112.610001,111.820000,112.599998,112.055534,7594900
2017-12-11,112.500000,113.349998,112.160004,112.370003,111.826645,7538600
2017-12-12,112.370003,113.730003,112.000000,113.459999,112.911377,8754400
2017-12-13,113.750000,114.370003,113.190002,113.309998,112.762100,8088900
2017-12-14,113.550003,114.089996,112.919998,112.919998,112.373985,9815600
2017-12-15,113.970001,114.199997,112.389999,113.820000,113.269630,16388000
2017-12-18,114.690002,114.750000,113.250000,113.550003,113.000946,8961800
2017-12-19,113.279999,113.279999,112.080002,112.139999,111.597763,7899400
2017-12-20,112.720001,113.099998,111.989998,112.120003,111.577858,6201900
2017-12-21,112.599998,113.099998,112.320000,112.410004,111.866455,8866400
2017-12-22,112.389999,113.110001,112.250000,112.690002,112.145103,6190100
2017-12-26,112.070000,113.440002,112.070000,112.989998,112.443642,3948900
2017-12-27,112.690002,114.070000,112.650002,114.019997,113.468666,7073100
2017-12-28,114.300003,114.919998,113.989998,114.349998,113.797066,6937100
2017-12-29,114.750000,114.889999,114.019997,114.019997,113.468666,5249000
2018-01-02,114.570000,115.080002,113.949997,114.510002,113.956306,6080900
2018-01-03,114.949997,115.790001,114.660004,115.650002,115.090790,6946100
2018-01-04,116.250000,117.360001,116.029999,116.080002,115.518715,7805300
2018-01-05,116.989998,119.000000,116.419998,118.860001,118.285271,8590500
2018-01-08,118.610001,120.480003,118.070000,119.339996,118.762939,6660700
2018-01-09,119.970001,119.970001,118.660004,119.110001,118.534065,6562400
2018-01-10,118.690002,119.050003,117.459999,118.980003,118.404694,7490300
2018-01-11,118.800003,119.980003,118.680000,119.839996,119.260529,5982100
2018-01-12,120.120003,120.349998,119.709999,120.089996,119.509315,5585800
2018-01-16,121.180000,121.940002,119.910004,120.389999,119.807869,8803800
2018-01-17,121.199997,122.160004,120.730003,121.980003,121.390182,7805900
2018-01-18,122.519997,123.199997,122.029999,123.110001,122.514717,8661000
2018-01-19,123.050003,123.650002,121.919998,122.699997,122.106697,8250700
2018-01-22,122.870003,124.330002,122.400002,124.330002,123.728813,9355000
2018-01-23,124.599998,125.510002,124.209999,124.650002,124.047272,5683300
2018-01-24,125.050003,125.449997,123.709999,124.550003,123.947754,6425200
2018-01-25,125.000000,125.470001,124.629997,125.220001,124.614517,7166400
2018-01-26,125.769997,126.379997,124.760002,126.320000,125.709198,5604900
2018-01-29,126.739998,126.879997,124.690002,124.839996,124.236343,6257900
2018-01-30,123.820000,124.290001,122.839996,123.550003,122.952599,8154400
2018-01-31,123.779999,124.480003,123.040001,124.230003,123.629303,7338200
2018-02-01,124.739998,126.260002,124.099998,125.720001,125.112099,11169700
2018-02-02,123.720001,123.720001,120.699997,120.910004,120.325356,13937700
2018-02-05,118.699997,121.129997,115.010002,116.269997,115.707787,16623900
2018-02-06,115.199997,120.300003,113.250000,119.970001,119.389900,19053300
2018-02-07,120.089996,122.459999,119.209999,119.650002,119.071449,9294000
2018-02-08,119.529999,119.820000,113.540001,113.860001,113.309448,12673400
2018-02-09,114.550003,117.209999,111.019997,116.320000,115.757545,17695500
2018-02-12,117.790001,118.839996,116.879997,118.470001,117.897156,11526300
2018-02-13,117.849998,118.800003,117.129997,118.349998,117.777733,7803900
2018-02-14,117.620003,120.949997,117.500000,120.830002,120.245743,9206400
2018-02-15,121.699997,122.309998,119.970001,122.279999,121.900581,6921300
2018-02-16,121.629997,122.989998,121.570000,121.849998,121.471924,6371400
2018-02-20,121.349998,123.050003,121.019997,122.010002,121.631424,6182800
2018-02-21,122.050003,122.830002,120.410004,120.430000,120.056328,7676100
2018-02-22,120.669998,121.379997,119.620003,120.379997,120.006477,4994000
2018-02-23,121.570000,122.959999,121.220001,122.930000,122.548569,5036900
2018-02-26,123.580002,124.599998,123.320000,124.589996,124.203415,6270500
2018-02-27,124.699997,125.300003,123.349998,123.370003,122.987213,7287200
2018-02-28,123.650002,124.980003,122.879997,122.940002,122.558540,6780900
2018-03-01,123.260002,124.000000,119.620003,120.400002,120.026421,8819600
2018-03-02,119.089996,120.980003,117.860001,120.769997,120.395271,7581900
2018-03-05,120.449997,122.309998,119.440002,121.879997,121.501823,5810200
2018-03-06,122.830002,123.239998,120.669998,121.059998,120.684372,7464400
2018-03-07,120.029999,122.239998,119.699997,121.849998,121.471924,7254100
2018-03-08,121.959999,122.820000,121.169998,122.220001,121.840775,6948900
