Date,Open,High,Low,Close,Adj Close,Volume
2011-01-25,1348.250000,1361.500000,1321.750000,1334.250000,1261.279175,5000
2011-01-26,1336.000000,1338.500000,1226.750000,1228.250000,1161.076416,6900
2011-01-27,1234.250000,1309.750000,1234.000000,1292.500000,1221.812500,7200
2011-01-28,1311.250000,1313.500000,1217.500000,1264.250000,1195.107544,6300
2011-01-31,1270.500000,1304.000000,1255.750000,1282.250000,1212.123169,2900
2011-02-01,1248.750000,1275.250000,1197.000000,1208.750000,1142.642944,4000
2011-02-02,1206.250000,1248.250000,1203.000000,1230.750000,1163.439819,2700
2011-02-03,1218.500000,1245.750000,1153.750000,1159.250000,1095.850098,4200
2011-02-04,1144.250000,1183.250000,1140.750000,1176.000000,1111.684082,2700
2011-02-07,1157.000000,1180.000000,1151.750000,1178.000000,1113.574585,1400
2011-02-08,1141.250000,1148.750000,1122.000000,1124.750000,1063.236816,2100
2011-02-09,1127.000000,1171.000000,1113.750000,1159.250000,1095.850098,1700
2011-02-10,1186.250000,1210.000000,1169.250000,1180.500000,1115.937988,1600
2011-02-11,1175.750000,1199.250000,1150.750000,1195.750000,1130.353882,800
2011-02-14,1172.000000,1173.750000,1152.250000,1160.750000,1097.268066,2900
2011-02-15,1132.500000,1134.750000,1108.250000,1118.000000,1056.856079,3600
2011-02-16,1107.250000,1137.000000,1100.500000,1104.750000,1044.330688,4300
2011-02-17,1089.250000,1100.000000,1081.750000,1083.250000,1024.006592,3200
2011-02-18,1066.500000,1071.500000,1036.250000,1059.500000,1001.555420,3400
2011-02-22,1016.250000,1079.000000,1012.000000,1076.750000,1017.862000,3000
2011-02-23,1061.000000,1069.000000,1019.750000,1036.750000,980.049561,4900
2011-02-24,1027.250000,1104.750000,1026.750000,1102.250000,1041.967407,6500
2011-02-25,1083.000000,1083.000000,1055.500000,1055.500000,997.774231,1600
2011-02-28,1044.250000,1055.000000,1022.750000,1022.750000,966.815369,1200
2011-03-01,1005.250000,1008.250000,980.500000,991.500000,937.274475,1600
2011-03-02,977.250000,1002.250000,977.250000,987.000000,933.020508,600
2011-03-03,1013.250000,1040.750000,1011.000000,1016.000000,960.434509,1400
2011-03-04,1010.750000,1010.750000,988.500000,1001.750000,946.963806,1300
2011-03-07,938.250000,1021.750000,938.250000,1015.250000,959.725525,500
2011-03-08,1022.500000,1060.000000,1021.000000,1033.500000,976.977417,1600
2011-03-09,1025.250000,1062.000000,1020.000000,1052.250000,994.702087,1100
2011-03-10,1100.750000,1134.250000,1094.500000,1126.000000,1064.418579,2800
